"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DIVISLAB","BL","14-Jul-2025","5,979.65","6,835.00","6,835.00","6,835.00","6,835.00","6,835.00","6,835.00","21,874","14,95,08,790.00","1","-","-"
"DIVISLAB","EQ","14-Jul-2025","6,835.00","6,650.00","6,825.50","6,545.00","6,787.00","6,778.50","6,699.30","9,68,781","6,49,01,54,456.50","97,845","4,63,413","47.83"
"DIVISLAB","EQ","15-Jul-2025","6,778.50","6,800.00","6,818.50","6,734.50","6,777.00","6,790.00","6,775.18","1,32,235","89,59,16,350.00","26,213","62,647","47.38"
"DIVISLAB","EQ","16-Jul-2025","6,790.00","6,790.00","6,859.50","6,751.00","6,828.00","6,831.00","6,807.83","3,27,289","2,22,81,27,382.50","30,307","2,19,413","67.04"
"DIVISLAB","EQ","17-Jul-2025","6,831.00","6,830.50","6,881.00","6,763.00","6,773.00","6,790.50","6,804.72","2,91,956","1,98,66,79,899.50","24,926","2,10,470","72.09"
"DIVISLAB","EQ","18-Jul-2025","6,790.50","6,780.00","6,781.50","6,682.50","6,711.00","6,731.50","6,730.87","1,96,816","1,32,47,42,506.50","24,798","1,10,456","56.12"
"DIVISLAB","EQ","21-Jul-2025","6,731.50","6,742.00","6,746.00","6,663.50","6,683.00","6,688.00","6,695.73","1,52,442","1,02,07,10,932.00","17,631","84,448","55.40"
"DIVISLAB","EQ","22-Jul-2025","6,688.00","6,685.00","6,685.00","6,579.50","6,631.50","6,613.00","6,614.55","2,72,172","1,80,02,96,372.50","44,095","1,65,671","60.87"
"DIVISLAB","EQ","23-Jul-2025","6,613.00","6,641.00","6,679.00","6,616.00","6,643.00","6,653.00","6,652.39","2,06,835","1,37,59,46,116.00","19,434","1,43,356","69.31"
"DIVISLAB","EQ","24-Jul-2025","6,653.00","6,653.00","6,683.50","6,600.00","6,627.50","6,618.50","6,634.38","1,83,852","1,21,97,44,487.00","23,739","1,04,997","57.11"
"DIVISLAB","EQ","25-Jul-2025","6,618.50","6,598.00","6,652.00","6,569.00","6,628.00","6,616.50","6,616.33","1,79,064","1,18,47,45,938.50","23,334","97,328","54.35"
"DIVISLAB","EQ","28-Jul-2025","6,616.50","6,616.50","6,713.50","6,555.50","6,581.50","6,584.00","6,627.29","1,55,158","1,02,82,77,207.50","23,340","82,932","53.45"
"DIVISLAB","EQ","29-Jul-2025","6,584.00","6,580.00","6,688.00","6,473.00","6,674.50","6,676.50","6,590.36","2,07,710","1,36,88,84,554.50","38,514","96,342","46.38"
"DIVISLAB","EQ","30-Jul-2025","6,676.50","6,643.50","6,733.50","6,601.50","6,644.00","6,650.00","6,674.19","2,26,974","1,51,48,66,638.00","33,707","1,29,628","57.11"
"DIVISLAB","EQ","31-Jul-2025","6,650.00","6,556.00","6,662.50","6,552.00","6,593.00","6,595.50","6,604.67","2,08,301","1,37,57,60,265.50","31,944","1,09,021","52.34"
"DIVISLAB","EQ","01-Aug-2025","6,595.50","6,598.00","6,598.00","6,335.50","6,425.00","6,361.50","6,416.29","4,67,222","2,99,78,33,289.00","53,048","2,64,463","56.60"
"DIVISLAB","EQ","04-Aug-2025","6,361.50","6,372.00","6,513.50","6,343.00","6,482.50","6,489.50","6,444.77","3,51,237","2,26,36,40,142.00","40,164","2,11,477","60.21"
"DIVISLAB","EQ","05-Aug-2025","6,489.50","6,489.50","6,530.50","6,363.50","6,410.50","6,409.00","6,417.67","3,77,699","2,42,39,47,131.50","56,600","2,02,813","53.70"
"DIVISLAB","EQ","06-Aug-2025","6,409.00","6,410.50","6,449.00","6,054.50","6,183.00","6,133.50","6,191.63","9,84,259","6,09,41,64,379.00","1,04,663","3,75,412","38.14"
"DIVISLAB","EQ","07-Aug-2025","6,133.50","6,150.00","6,174.50","5,960.50","6,126.00","6,131.50","6,062.32","10,04,420","6,08,91,18,032.00","93,973","5,99,229","59.66"
"DIVISLAB","EQ","08-Aug-2025","6,131.50","6,100.00","6,118.00","5,893.50","5,910.00","5,914.50","5,994.74","5,41,367","3,24,53,53,474.00","54,156","3,15,798","58.33"
"DIVISLAB","EQ","11-Aug-2025","5,914.50","5,891.00","6,016.00","5,856.50","5,980.00","5,992.00","5,938.71","6,77,693","4,02,46,20,835.00","75,565","4,02,862","59.45"
"DIVISLAB","EQ","12-Aug-2025","5,992.00","5,992.00","6,015.00","5,947.00","5,966.00","5,961.00","5,984.49","4,77,759","2,85,91,44,006.50","46,979","3,13,456","65.61"
"DIVISLAB","EQ","13-Aug-2025","5,961.00","5,971.00","6,150.00","5,970.00","6,084.00","6,100.50","6,076.12","3,94,932","2,39,96,53,321.00","62,453","2,57,198","65.12"
"DIVISLAB","EQ","14-Aug-2025","6,100.50","6,155.00","6,205.00","6,091.00","6,133.00","6,132.50","6,138.23","4,07,062","2,49,86,39,297.50","51,936","2,34,221","57.54"
"DIVISLAB","EQ","18-Aug-2025","6,132.50","6,148.00","6,211.50","6,092.50","6,154.50","6,164.50","6,169.57","3,62,833","2,23,85,23,526.00","59,465","2,15,917","59.51"
"DIVISLAB","EQ","19-Aug-2025","6,164.50","6,165.00","6,170.50","6,075.00","6,093.50","6,079.50","6,119.59","2,46,497","1,50,84,60,536.00","29,466","1,73,649","70.45"
"DIVISLAB","EQ","20-Aug-2025","6,079.50","6,084.00","6,096.00","5,952.50","6,005.00","6,005.00","6,004.39","5,44,008","3,26,64,37,122.50","61,661","3,61,308","66.42"
"DIVISLAB","EQ","21-Aug-2025","6,005.00","6,005.00","6,060.00","5,988.00","6,030.00","6,028.00","6,024.45","2,19,909","1,32,48,30,777.50","25,419","1,22,305","55.62"
"DIVISLAB","EQ","22-Aug-2025","6,028.00","6,088.00","6,188.00","6,088.00","6,154.00","6,151.50","6,145.04","6,81,524","4,18,79,95,368.50","65,942","3,33,691","48.96"
"DIVISLAB","EQ","25-Aug-2025","6,151.50","6,255.00","6,314.50","6,204.00","6,242.00","6,248.50","6,249.25","4,39,686","2,74,77,07,506.50","44,517","1,99,293","45.33"
"DIVISLAB","EQ","26-Aug-2025","6,248.50","6,260.00","6,260.00","6,120.00","6,195.00","6,190.50","6,187.22","5,46,739","3,38,27,92,694.00","54,834","3,85,142","70.44"
"DIVISLAB","EQ","28-Aug-2025","6,190.50","6,275.00","6,275.00","6,108.50","6,135.00","6,132.00","6,146.47","4,15,482","2,55,37,49,658.50","42,228","2,89,263","69.62"
"DIVISLAB","EQ","29-Aug-2025","6,132.00","6,132.00","6,177.50","6,092.00","6,095.00","6,131.50","6,141.00","2,83,850","1,74,31,22,960.50","29,986","1,95,662","68.93"
"DIVISLAB","EQ","01-Sep-2025","6,131.50","6,131.50","6,135.00","6,064.00","6,090.00","6,093.00","6,093.28","1,92,062","1,17,02,87,032.00","26,963","1,06,840","55.63"
"DIVISLAB","EQ","02-Sep-2025","6,093.00","6,093.00","6,148.50","6,059.50","6,119.00","6,120.50","6,107.14","3,07,162","1,87,58,82,774.50","23,592","1,92,022","62.51"
"DIVISLAB","EQ","03-Sep-2025","6,120.50","6,145.00","6,188.00","6,097.00","6,163.00","6,164.00","6,150.89","2,81,110","1,72,90,75,907.50","30,046","1,83,611","65.32"
"DIVISLAB","EQ","04-Sep-2025","6,164.00","6,163.00","6,197.50","6,093.50","6,130.00","6,133.50","6,133.34","2,94,429","1,80,58,33,550.50","35,250","2,20,846","75.01"
"DIVISLAB","EQ","05-Sep-2025","6,133.50","6,133.50","6,177.50","6,002.50","6,021.00","6,009.00","6,064.21","2,13,926","1,29,72,91,748.50","32,384","1,25,741","58.78"
"DIVISLAB","EQ","08-Sep-2025","6,009.00","6,029.00","6,066.00","5,940.00","6,031.50","6,027.50","6,001.18","5,19,368","3,11,68,22,524.50","37,128","3,95,329","76.12"
